9606,375764,75485,241587,9771,183150,10029,105023,240729,161653,73330,2593467,8840,369639,73324,161767,30538,43346,9531,9669,9823,31033,8005,141839,7740,239386,9601,367368,8469,98133,260995,98144,68497,94827,54380,8805,185453,310752,8630,9925,9402,215358,357074,7957,66707,56343,211598,8103,56068,9233
A0A6Q8PFG4,A0A672YVK0,A0A7L3T4L3,A0A8B9J0X9,A0A8C0CJK5,A0A8C8DSN6,G3H8Z9,A0A1A8URB9,A0A852JGE3,A0A7L1U3S7,A0A7L1W8C9,A0A8C5U111,A0A493T8C8,A0A7J6C3I0,A0A7L1EY30,A0A3P8RNW8,A0A6J3ADN8,A0A6P3HKC0,A0A2K5LSQ8,G9KSM3,A0A287ALV4,H2VDH8,A0A4W4EVJ2,A0A7K5EYW0,A0A8J9VEJ1,A0A7L1D5Q2,A0A2J8UB47,A0A8C8VR85,M7BVK5,A0A7L2SDS1,A0A6P8RNM1,A0A7L2R5I1,A0A7L2LHX0,A0A099ZFS2,A0A091MB22,A0A7K7VQ10,A0A9B0U3J3,A0A384BAG6,A0A8C5RR07,A0A452G0J1,L5KFI5,A0A6G0IHN6,A0A852MV68,A0A6P6RG96,A0A7K5E3A9,A0A7L0GCG9,A0A8B9S0I5,A0A8C2ZZ59,A0A851B4A8,A0A087QZI7
Q9UHD9,A0A673A5W6,A0A7L3TDQ4,A0A8B9J1D3,A0A8B8XF55,A0A8C7YH32,G3GRD6,A0A8C6Q7L6,A0A852IS26,A0A7L1UAJ9,A0A7L1W960,A0A8C5UH66,A0A493T4H7,A0A7J6C5V8,A0A7L1F4B4,A0A3P8RVJ4,A0A6I9IHA3,A0A6P3HL31,A0A2K5KSU2,A0A8U0SQ74,A0A287A7L8,A0A674PI27,A0A4W4ERT1,A0A7K5FCK6,A0A8J9ZQW7,A0A7L1DD26,A0A8I5TFJ8,A0A8C8SUE6,M7BD98,A0A7L2SMS7,A0A6P8QAR1,A0A7L2R2J6,A0A7L2LHU5,A0A099ZJX1,A0A091MTI2,A0A7K7UYX4,A0A9B0U3M8,A0A452CNR0,A0A8C5SWJ2,A0A452F2R4,L5KQF7,A0A6G0HKW5,A0A852MQV5,A0A6P6MNS5,A0A7K5EIG6,A0A7L0H084,A0A8B9MBK2,A0A8C3AZZ9,A0A851AMF6,A0A087R466
P35222,A0A673A743,A0A7L3T5G5,A0A8B9FBG5,A0A8B8Y2G2,A0A8C7Y0A3,G3INH9,A0A8C6LT06,A0A852IQC5,A0A7L1TZF1,A0A7L1W640,A0A8C5U0N4,U3IKN8,A0A7J6CCB9,A0A7L1FKU3,A0A3P8SCG2,A0A6I9IDX6,A0A6P3HFV0,A0A2K5LRS5,M3XYZ9,A0A287BAW1,A0A674PBT0,A0A4W4GTZ7,A0A7K5FE48,A0A8J9YWM8,A0A7L1D604,A0A2J8WWI7,A0A8C8S1A5,M7BBM2,A0A7L2SE02,A0A6P8NGE5,A0A7L2R409,A0A7L2M9S6,A0A099ZK81,A0A091M5F7,A0A7K7UYM9,A0A9B0U9P0,A0A383YQA2,A0A8C5SKF5,A0A452GB74,L5JUA4,A0A6G0IT92,A0A852N7L4,A0A6P6KII1,A0A7K5DYW5,A0A7L0GI66,A0A8B9MMV7,A0A8C2WJ13,A0A851A0H9,A0A087QVE6
A0A1B0GXK6,A0A673A2E6,A0A7L3TBI2,A0A8B9FEX7,A0A8B8WV83,A0A8C7Z9X6,G3GTC1,A0A8C6M5R7,A0A852J0Z5,A0A7L1TWD6,A0A7L1WSW6,A0A8C5TNA3,U3INE2,A0A7J6CUM1,A0A7L1FV51,A0A3P8TQL8,A0A6J3AR81,A0A6P3J916,A0A2K5LGT6,A0A8U0UXE7,A0A5G2QJ14,A0A674N625,A0A4W4GJD6,A0A7K5FD65,A0A8J9Z9J9,A0A7L1DI27,H2PLY5,A0A8C8S4W3,M7C067,A0A7L2SH35,A0A6P8SV16,A0A7L2QRI1,A0A7L2LPW9,A0A099ZT38,A0A091M1L2,A0A7K7UYK6,A0A9B0WKM8,A0A384AES8,A0A8C5RG35,A0A452EM33,L5JN65,A0A6G0I1P7,A0A852MQE8,A0A6P6LUS0,A0A7K5EWH5,A0A7L0G9H5,A0A8B9RQJ5,A0A8C3AMW1,A0A851AG11,A0A087RGW2
O14576,A0A672ZJ66,A0A7L3TDM5,A0A8B9G2G9,A0A8B8VN06,A0A8C7XUX7,G3HVM1,A0A1A8V596,A0A852IDS6,A0A7L1UKV8,A0A7L1WWG2,A0A8C5X8T3,A0A493SVE8,A0A7J6DII1,A0A7L1FC54,A0A3P8TYZ0,A0A6I9I594,A0A6P3IFF0,A0A2K5MWM1,A0A8U0S720,A0A5G2Q877,H2V9D0,A0A4W4FMQ7,A0A7K5FD41,A0A8J9YXT5,A0A7L1CWK4,H2NTM8,A0A8C8SBP3,M7B3I3,A0A7L2SCM3,A0A6P8QYG8,A0A7L2R0C3,A0A7L2M441,A0A099ZDG7,A0A091MYX0,A0A7K7UNU4,A0A9B0WGK6,A0A383ZWT6,A0A8C5RHB0,A0A452G5F5,L5KP20,A0A6G0J8A4,A0A852MFA3,A0A6P6LDY5,A0A7K5DTD3,A0A7L0GZ64,A0A8B9MY10,A0A8C2WU66,A0A850ZSF9,A0A087R9J7
A0A8V8TQ18,A0A673AIR7,A0A7L3T9A6,A0A8B9FMF5,A0A8B8W5J2,A0A8C7ZQC1,G3GTW8,A0A8C6LNU5,A0A852IIB9,A0A7L1UBS2,A0A7L1WCE1,A0A8C5TZK8,U3I836,A0A7J6CQN3,A0A7L1FDJ6,A0A3P8RNF0,A0A6J3B2R5,A0A6P3GNR5,A0A2K5LSI2,A0A8U0MWC6,A0A286ZNT1,A0A674PAI3,A0A4W4GDR8,A0A7K5F7R6,A0A8J9ZN51,A0A7L1DGZ3,Q5R4X1,A0A8C8SQX6,M7BQL5,A0A7L2S7W7,A0A6P8R1U6,A0A7L2R4I2,A0A7L2M9G1,A0A099ZMJ0,A0A091LUC5,A0A7K7VA65,A0A9B0U2J7,A0A384AU05,A0A8C5RPT2,A0A452EXS1,L5K7V6,A0A6G0IDA9,A0A852MMT9,A0A6P6L1P8,A0A7K5DWE3,A0A7L0G445,A0A8B9MRR1,A0A8C2ZY41,A0A850ZJR9,A0A087QYU6
Q9GZV7,A0A673BLV8,A0A7L3TG31,A0A8B9G6Y4,A0A8B8ZEY0,A0A8C7ZZ90,G3HNK2,A0A8C6PE04,A0A852ITX2,A0A7L1TVK5,A0A7L1WI07,A0A8C5X7B8,U3ICF2,A0A7J6C1N3,A0A7L1FRG1,A0A3P8TEC8,A0A6J3A9R4,A0A6P3G4L4,A0A2K5KUA7,A0A8U0V2Z4,E9LHE5,A0A674MFR8,A0A4W4G9S9,A0A7K5FR72,A0A8K0AA53,A0A7L1CKW4,A0A2J8TTR9,A0A8C8SF45,M7BFB8,A0A7L2SVF6,A0A6P8R378,A0A7L2QZR0,A0A7L2LLM5,A0A099ZAU8,A0A091M558,A0A7K7VMP5,A0A9B0U8H4,A0A384AUU0,A0A8C5SI88,A0A452EZT4,L5KBS8,A0A6G0HRU9,A0A852MNP8,A0A6P6J1E8,A0A7K5E0T3,A0A7L0GYW6,A0A8B9N5K1,A0A8C3ALL8,A0A851AA45,A0A087RJ00
Q15233,A0A673C235,A0A7L3SVD3,A0A8B9FWH2,A0A8B8XFS0,A0A8C7ZES9,G3HQL7,A0A8C6VTY3,A0A852IJ20,A0A7L1UJS2,A0A7L1WW82,A0A8C5X053,U3IIN2,A0A7J6C1S3,A0A7L1F5Q8,A0A3P8S338,A0A6J3AID3,A0A6P3I226,A0A2K5N364,A0A8U0NQM8,Q06AS8,H2USV5,A0A4W4H8F4,A0A7K5FL45,A0A8K0EVE7,A0A7L1DDG2,H2PVR4,A0A8C8RBI8,M7C7N9,A0A7L2SWA2,A0A6P8Q3D0,A0A7L2R8D5,A0A7L2LT12,A0A099ZIB2,A0A091N5A2,A0A7K7VI75,A0A9B0U2Z5,A0A383ZLC7,A0A8C5RG56,A0A452F0M7,L5KU44,A0A6G0J1W3,A0A852MQI3,A0A6P6JPV9,A0A7K5E5N7,A0A7L0GH22,A0A8B9RRG7,A0A8C3AIZ7,A0A850ZW27,A0A087RGD8
A0A0A0MT01,A0A672ZN04,A0A7L3T9C7,A0A8B9GLY9,A0A8B8XKW6,A0A8C7WQW0,G3HQI4,A0A8C6LDJ3,A0A852IC57,A0A7L1TNG7,A0A7L1W3B7,A0A8C5TXB2,A0A493TSX6,A0A7J6DD88,A0A7L1EXY1,A0A3P8TWK4,A0A6J0AL83,A0A6P3IY07,A0A2K5NSJ6,A0A8U0URA6,A0A287B7G8,A0A674NLN4,A0A4W4EG55,A0A7K5F1Z5,A0A8K0EDV5,A0A7L1DC57,A0A2J8V959,A0A8C8RLX7,M7BBN9,A0A7L2SWD3,A0A6P8Q1B3,A0A7L2QT03,A0A7L2M5Z1,A0A099ZAY8,A0A091MLE7,A0A7K7V780,A0A9B0WT85,A0A383Z9T7,A0A8C5SP96,A0A452F743,L5KFX1,A0A6G0I2C0,A0A852N1W3,A0A6P6NGI2,A0A7K5EDW0,A0A7L0GGD5,A0A8B9NPH9,A0A8C2XNP3,A0A850ZQ16,A0A087R575
A0A087WZ06,A0A673BJK1,A0A7L3SFG5,A0A8B9GCE6,A0A8B8WDX9,A0A8C7Y4W9,G3IK30,A0A8C6KF14,A0A852IMU3,A0A7L1U5C9,A0A7L1WUQ5,A0A8C5XA12,U3III3,A0A7J6C0I5,A0A7L1F3Q5,A0A3P8TX69,A0A6J3ALW6,A0A6P3I2J6,A0A2K5P6V1,A0A8U0V6G0,F1SIM4,A0A674NXW6,A0A4W4H2K9,A0A7K5FN03,A0A8J9ZPY7,A0A7L1CYE5,H2NZR5,A0A8C8SLQ3,M7BX87,A0A7L2S6T6,A0A6P8QLZ7,A0A7L2RBF2,A0A7L2M706,A0A099ZQZ6,A0A091MRT7,A0A7K7V2Z7,A0A9B0TGE5,A0A383Z0H0,A0A8C5RN05,A0A452FNZ4,L5K2M6,A0A6G0IQ70,A0A852MK93,A0A6P6MIY0,A0A7K5ESW6,A0A7L0GS40,A0A8B9N1B9,A0A8C3G719,A0A850ZS16,A0A087RBZ8
